Restaurants,Street,City,State and Zip,Phone Number,Habitat,Platform Priority,Vendor Type,Menu Difficulty,Sales Step,EAT 24,GRUBHUB,GH & Yelp Reviews,Priority,Yelp Rating,Cuisine,Outsourced vs. in house,Uber Eats,Postmates,Caviar,Catering,DaaS,DaaS - GH,Order Method,iPad Serial No. ,Direct Deposit
TEMPLE TOWN PIZZA,2001 N Gratz St, Philadelphia, PA 19121,(215) 232-1935,Temple,Both,Fast Casual,Medium (100+ Combos),,N,Y,100+,low,4,,,N,N,N,,,,,,
CIRCLES THAI NORTHERN LIBERTIES,812 N 2nd St, Philadelphia, PA 19123,(267) 687-1309,No Libs,Both,Dine in,Low (less than 100 Combos),,N,N,300+,high,3.5,,,N,N,N,,,,,,
MEXICAN POST EXPRESS ,Comcast Center, 1701 John F Kennedy Blvd, Philadelphia,(267) 519-3953,W.CC,Consumer,Fast Casual,Low (less than 100 Combos),,Y,Y,100+,low,2.5,,,N,Y,N,,,,,,
LORENZO'S FAMOUS BEANS & RICE,1301 N 25th St, Philadelphia, PA 19121,(215) 765-3511,W.CC,DaaS,Fast Casual,Medium (100+ Combos),,N,N,,nonexistant,,,,Y,N,N,,,,,,
BISTRO BY CUISINE,4207 Ferne Blvd, Drexel Hill, PA 19026,(484) 461-9146,W.CC,,,,,N,N,,nonexistant,,,,N,N,N,,,,,,
FUJI MOUNTAIN JAPANESE,2030 Chestnut St, Philadelphia, PA 19103,(215) 751-0939,W.CC,DaaS,Dine in,High (300+ Combos),,Y,Y,300+,high,4,,,N,N,Y,,,,,,
DIM SUM & NOODLE,2000 Hamilton St #104, Philadelphia, PA 19130,(215) 515-3992,Fairm.,Both,Dine in,Low (less than 100 Combos),,N,Y,300+,medium,4.5,,,Y,N,N,,,,,,
SMILE CAFE,105 S 22nd St, Philadelphia, PA 19103,(215) 564-2502,W.CC,Both,Dine in,Low (less than 100 Combos),,Y,Y,300+,low,4,,,Y,N,N,,,,,,
TRIO,2601 Pennsylvania Ave, Philadelphia, PA 19130,(215) 232-8746,Fairm.,,,,,N,N,100+,low,3.5,,,N,N,N,,,,,,
CHO CHO SAN JAPANESE & CHINESE,2000 Hamilton St #106, Philadelphia, PA 19130,(215) 557-1918,Fairm.,,,,,N,N,300+,very high,3,,,N,Y,N,,,,,,
BRANDYWINE PIZZA,532 N 15th St, Philadelphia, PA 19130,(215) 563-3788,W.CC,,,,,Y,Y,300+,very high,2.5,,$100 MINIMUM & $4.99 DF,N,Y,N,,,,,,
SALADWORKS AT LIBERTY PALCE,The Shops at Liberty Place, 1625 Chestnut St, Philadelphia,(215) 963-9099,W.CC,,,,,Y,Y,,nonexistant,2.5,,,N,Y,N,,,,,,
DOMA,1822 Callowhill St, Philadelphia, PA 19130,(215) 564-1114,Fairm.,,,,,N,N,300+,high,4,,,N,N,N,,,,,,
ERAWAN THAI CUISINE,123 S 23rd St, Philadelphia, PA 19103,(215) 567-2542,W.CC,,,,,Y,Y,300+,very high,3.5,,,N,Y,N,,,,,,
BYBLOS RESTAURANT & HOOKAH BAR,116 S 18th St, Philadelphia, PA 19103,(215) 568-3050,W.CC,,,,,N,N,100+,low,3,,,Y,N,Y,,,,,,
SEAFOOD UNLIMITED,270 S 20th St, Philadelphia, PA 19103,(215) 732-3663,W.CC,,,,,N,Y,100+,low,3,,,N,Y,Y,,,,,,
FINE PALATE,231 S 15th St, Philadelphia, PA 19102,(267) 318-7971,W.CC,,,,,N,N,100+,low,4,,,Y,Y,Y,,,,,,
"ELLEN'S BAGELS, HOAGIES & MORE",200 S Broad St Philadelphia, PA 19102,,(215) 732-8477,W.CC,,,,,N,Y,,nonexistant,4,,,N,Y,N,,,,,,
Baril,267 S 19th St, Philadelphia, PA 19103,(267) 687-2608,W.CC,,,,,Y,Y,,nonexistant,3.5,,,N,N,N,,,,,,
TAI LAKE RESTAURANT,134 N 10th St, Philadelphia, PA 19107,(215) 922-0698,E.CC,,,,,N,N,100+,medium,3.5,,,N,N,N,,,,,,
CIBO RISTORANTE ITALIANO,1227 Walnut St, Philadelphia, PA 19107,(215) 923-8208,E.CC,,,,,Y,Y,,nonexistant,3.5,,,N,Y,N,,,,,,
VANGO LOUNGE & SKYBAR,116 S 18th St, Philadelphia, PA 19103,(215) 568-1020,W.CC,,,,,N,Y,100+,medium,2,,,Y,Y,N,,,,,,
KANSAI,1822 Spring Garden St, Philadelphia, PA 19130,(215) 568-0888,Fairm.,,,,,N,Y,300+,high,4,,,Y,Y,N,,,,,,
KING OF TANDOOR,1824 Callowhill St, Philadelphia, PA 19130,(215) 568-0751,Fairm.,,,,,Y,Y,300+,high,3.5,,,N,Y,N,,,,,,
DOMINOS PIZZA,Multiple Locations,,,,,,,,,,,300+,very high,3,,,,,,,,,,,
CITY VIEW PIZZA,Multiple Locations,,,,,,,,,,,300+,very high,3,,,,,,,,,,,
FAIRMOUNT PIZZA AND GRILL,2000 Fairmount Ave, Philadelphia, PA 19130,(215) 763-4000,Fairm.,,,,,N,Y,300+,medium,3.5,,,N,Y,N,,,,,,
MAD MEX U.C,3401 Walnut St, Philadelphia, PA 19104,(215) 382-2221,UCity,,,,,,,300+,high,3,,,,,,,,,,,
SAKURA SUSHI CUISINE,1521 Spring Garden St, Philadelphia, PA 19130,(215) 569-3838,Fairm.,,,,,Y,Y,300+,very high,3.5,,,Y,Y,N,,,,,,
I-TEA,1537 Spring Garden St, Philadelphia, PA 19130,(215) 665-8886,Fairm.,,,,,,,300+,very high,4.5,,,,,,,,,,,
JOHNS PLACE,1529 Spring Garden St, Philadelphia, PA 19130,(215) 665-0972,Fairm.,,,,,Y,Y,300+,medium,3.5,,,N,Y,N,,,,,,
LA SCALA'S PRONTO,1501 Spring Garden St, Philadelphia, PA 19130,(215) 751-0200,Fairm.,,,,,N,Y,300+,very high,3.5,,,N,Y,N,,,,,,
ZORBA'S TAVERN,2230 Fairmount Ave, Philadelphia, PA 19130,(215) 978-5990,Fairm.,,,,,N,Y,300+,medium,4,,,Y,Y,N,,,,,,
LONDON GRILL,2301 Fairmount Ave, Philadelphia, PA 19130,(215) 978-4545,Fairm.,,,,,N,N,300+,low,3,,,Y,Y,N,,,,,,
PETE'S FAMOUS PIZZA RESTAURANT,Multiple Locations,,,,,,,,,,,300+,very high,3,,,,,,,,,,,
TGI FRIDAYS,Multiple Locations,,,,,,,,,,,300+,high,3,,,,,,,,,,,
LUIGI'S PIZZA FRESCA,Multiple Locations,,,,,,,,,,,300+,medium,4,,,,,,,,,,,
ASIA ON THE PARKWAY,The Windsor Suites, 1700 Benjamin Franklin Pkwy, Philadelphia,(215) 988-9889,Fairm.,,,,,Y,Y,100+,medium,4,,,N,Y,N,,,,,,
ZUZU'S KITCHEN,1500 Ridge Ave, Philadelphia, PA 19130,(215) 232-9898,Fairm.,,,,,N,Y,300+,very high,4.5,,,N,Y,N,,,,,,
REX PIZZA,1526 Race St, Philadelphia, PA 19102,(215) 557-9555,Fairm.,,,,,Y,Y,300+,medium,2.5,,,Y,Y,N,,,,,,
LOVE PARK PIZZA & CHICKEN,1402 Ridge Ave, Philadelphia, PA 19130,(215) 765-1222,Fairm.,,,,,Y,N,300+,high,3,,,Y,Y,N,,,,,,
PETE'S FAMOUS PIZZA RESTAURANT,Multiple Locations,,,,,,,,,,,300+,very high,3,,,,,,,,,,,
JAKE'S PIZZA,201 N Broad St, Philadelphia, PA 19107,(215) 587-0447,Fairm.,,,,,N,Y,100+,low,3,,,N,Y,N,,,,,,
YUMMY SUSHI,1807 John F Kennedy Blvd, Philadelphia, PA 19103,(215) 977-9999,Fairm.,,,,,N,Y,300+,very high,4,,,N,Y,N,,,,,,
MIKE'S STEAKS,1701 John F Kennedy Blvd, Philadelphia, PA 19103,(215) 246-0277,Fairm.,,,,,N,N,,nonexistant,3,,,N,Y,N,,,,,,
FOODS ON FIRST,1429 Arch St, Philadelphia, PA 19102,(215) 568-3555,Fairm.,,,,,Y,Y,300+,very high,3.5,,,N,N,N,,,,,,
PARADA MAIMON,345 N 12th St, Philadelphia, PA 19123,(215) 925-2000,E.CC,,,,,N,Y,300+,medium,4.5,,,N,Y,N,,,,,,
ANGELINO'S RESTAURANT PIZZERIA,849 N 25th St, Philadelphia, PA 19130,(215) 787-9945,W.CC,,,,,N,Y,100+,low,4,,,N,Y,N,,,,,,
GOLDEN LAKE,2206 Market St, Philadelphia, PA 19103,(215) 568-7727,W.CC,,,,,Y,Y,100+,medium,3,,,N,Y,N,,,,,,
NEW CHEF KING,1013 Spring Garden St, Philadelphia, PA 19123,(215) 763-2528,E.CC,,,,,N,N,300+,medium,3,,,N,Y,N,,,,,,
CHIX & BOWLS,28 S 20th St, Philadelphia, PA 19103,(215) 845-5118,W.CC,,,,,N,N,,nonexistant,4,,,Y,N,Y,,,,,,
MANDARIN PALACE (JAPANESE & CHINESE),1835 Chestnut St, Philadelphia, PA 19103,(215) 557-6280,W.CC,,,,,Y,Y,300+,very high,3.5,,,N,Y,N,,,,,,
SQUARE ON SQUARE,1905 Chestnut St, Philadelphia, PA 19103,(215) 568-0088,W.CC,,,,,Y,Y,300+,medium,3.5,,,Y,Y,N,,,,,,
DOLCE CARINI,1929 Chestnut St, Philadelphia, PA 19103,(215) 567-8892,W.CC,,,,,Y,Y,300+,medium,3.5,,,Y,Y,N,,,,,,
KABUKI,45 N 13th St, Philadelphia, PA 19107,(215) 567-8600,E.CC,,,,,Y,Y,300+,medium,4,,,Y,Y,N,,,,,,
SPICE END (RITTENHOUSE SQUARE),2004 Chestnut St, Philadelphia, PA 19103,(267) 639-9405,W.CC,,,,,Y,Y,300+,medium,3.5,,,Y,Y,N,,,,,,
GRAN CAFFE L'AQUILA,1716 Chestnut St, Philadelphia, PA 19103,(215) 568-5600,W.CC,,,,,N,Y,300+,medium,4.5,,,N,Y,Y,,,,,,
A MANDARIN RESTAURANT,Multiple Locations,,,,,,,,,,,300+,high,3,,,,,,,,,,,
GREAT WRAPS,The Shops at Liberty Place, 1625 Chestnut St, Philadelphia,(215) 564-1871,W.CC,,,,,Y,N,,nonexistant,3,,,N,Y,N,,,,,,
CLEAVERS STEAKS,108 S 18th St, Philadelphia, PA 19103,(215) 515-3828,W.CC,,,,,N,N,300+,medium,4.5,,,N,Y,N,,,,,,
LAZOS PIZZA & GRILL,873 N 26th St, Philadelphia, PA 19130,(215) 236-2300,,,,,,Y,Y,300+,very high,4,,,N,Y,N,,,,,,
WRAP SHACK,120 S 18th St, Philadelphia, PA 19103,(215) 569-1666,W.CC,,,,,Y,Y,300+,very high,3.5,,,N,Y,N,,,,,,
SAKURA MANDARIN,1038 Race St, Philadelphia, PA 19107,(215) 873-8338,,,,,,Y,Y,300+,very high,3.5,,,Y,Y,N,,,,,,
DAVIO'S,111 S 17th St, Philadelphia, PA 19103,(215) 563-4810,W.CC,,,,,N,Y,300+,medium,4,,,N,N,Y,,,,,,
SLICE,Multiple Locations,,,,,,,,,,,300+,medium,3.5,,,,,,,,,,,
MAGGIANO'S LITTLE ITALY,1201 Filbert St, Philadelphia, PA 19107,(215) 567-2020,E.CC,,,,,N,Y,300+,medium,3.5,,,N,Y,N,,,,,,
FOODERY AT RITTENHOUSE,1710 Sansom St, Philadelphia, PA 19103,(215) 567-1500,W.CC,,,,,N,Y,100+,low,4,,,Y,Y,Y,,,,,,
MIZU,Multiple Locations,,,,,,,,,,,300+,very high,3,,,,,,,,,,,
TOWER STYLE PIZZERIA,132 S 20th St, Philadelphia, PA 19103,(215) 567-6700,W.CC,,,,,Y,Y,300+,medium,2,,,N,Y,N,,,,,,
BAR LY RESTAURANT AND BAR,101 N 11th St, Philadelphia, PA 19107,(215) 922-2688,E.CC,,,,,N,Y,100+,low,3.5,,,N,Y,N,,,,,,
LINOLN CHICKEN PIZZA AND GRILL,2614 W Girard Ave, Philadelphia, PA 19130,(215) 787-9900,Fairm.,,,,,N,N,300+,high,2.5,,,Y,N,N,,,,,,
DIM SUM GARDEN,1020 Race St, Philadelphia, PA 19107,(215) 873-0258,E.CC,,,,,Y,Y,300+,very high,4,,,Y,N,Y,,,,,,
TOM'S DIM SUM,59 N 11th St, Philadelphia, PA 19107,(215) 923-8880,E.CC,,,,,Y,N,100+,low,4,,,Y,N,N,,,,,,
MACHI SUSHI,209 S 20th St, Philadelphia, PA 19103,(215) 545-2388,W.CC,,,,,Y,Y,300+,very high,3.5,,,N,Y,N,,,,,,
TSUKI SUSHI,2135 Walnut St, Philadelphia, PA 19103,(215) 561-5666,W.CC,,,,,Y,Y,300+,very high,3.5,,,N,N,N,,,,,,
ITALIAN EXPRESS,2641 W Girard Ave, Philadelphia, PA 19130,(215) 236-9977,Fairm.,,,,,Y,Y,300+,high,3.5,,,Y,Y,N,,,,,,
SPICE 28,1228 Chestnut St, Philadelphia, PA 19107,(215) 928-8880,E.CC,,,,,Y,Y,300+,high,4,,,N,Y,N,,,,,,
SCOOP DEVILLE,1315 Walnut St, Philadelphia, PA 19107,(215) 988-9992,E.CC,,,,,Y,Y,300+,medium,4,,,Y,Y,Y,,,,,,
XI'AN SIZZLING WOKS,902 Arch St, Philadelphia, PA 19107,(215) 925-1688,E.CC,,,,,N,N,300+,medium,4,,,Y,N,N,,,,,,
GUSTA PIZZA,240 S 22nd St, Philadelphia, PA 19103,(215) 546-7200,W.CC,,,,,N,Y,300+,high,4.5,,,N,N,N,,,,,,
THE SPOT AT RITTENHOUSE,272 S 20th St, Philadelphia, PA 19103,(215) 731-9131,W.CC,,,,,N,Y,300+,high,3,,,N,N,N,,,,,,
PAULIE'S PIZZA, 31 S 11th St, Philadelphia, PA 19107,(215) 592-4715,E.CC,,,,,N,Y,300+,very high,2.5,,,N,Y,N,,,,,,
SZECHUAN HUNAN,274 S 20th St, Philadelphia, PA 19103,(215) 546-8080,W.CC,,,,,Y,Y,300+,high,3.5,,,N,N,N,,,,,,
JAKE'S SANDWICH BOARD ON 12TH STREET,122 S 12th St, Philadelphia, PA 19107,(215) 922-0102,E.CC,,,,,Y,Y,300+,medium,3.5,,,N,Y,Y,,,,,,
LARRY'S STEAKS,Multiple Locations,,,,,,,,,,,300+,very high,3,,,,,,,,,,,
FUEL,Multiple Locations,,,,,,,,,,,300+,very high,3.5,,,,,,,,,,,
KAI SUSHI,12 S 10th St, Philadelphia, PA 19107,(267) 928-4505,E.CC,,,,,Y,Y,300+,very high,4,,,N,Y,Y,,,,,,
MASALA KITCHEN : KATI ROLLS & PLATTERS,1211 Walnut St, Philadelphia, PA 19107,(215) 309-3301,E.CC,,,,,Y,Y,300+,medium,4.5,,,Y,Y,Y,,,,,,
LIBERTY PIZZA AND GRILL,717 N 7th St, Philadelphia, PA 19123,(215) 829-1739,E.CC,,,,,Y,Y,300+,very high,3,,,N,N,N,,,,,,
WISHBONE - CENTER CITY,210 S 13th St, Philadelphia, PA 19107,(215) 309-3667,E.CC,,,,,N,Y,300+,medium,3,,,Y,Y,Y,,,,,,
XIANDU THAI,1119 Walnut St, Philadelphia, PA 19107,(215) 940-8855,E.CC,,,,,Y,Y,300+,high,4.5,,,N,Y,N,,,,,,
PANDA GARDEN CHINESE RESTAURANT,130 S 11th St, Philadelphia, PA 19107,(215) 592-1538,E.CC,,,,,Y,Y,300+,very high,2.5,,,Y,N,N,,,,,,
PIZANOS BRICK OVEN PIZZERIA & GRILL AT TEMPLE UNIVERSITY,1536 N Carlisle St, Philadelphia, PA 19121,(215) 765-3663,Fairm.,,,,,N,Y,100+,low,2.5,,,Y,N,N,,,,,,
MATT &MARIES,Multiple Locations,,,,,,,,,,,100+,low,4,,,,,,,,,,,
TOP TOMATO PIZZA KITCHEN,1107 Walnut St, Philadelphia, PA 19107,(215) 592-8242,E.CC,,,,,Y,Y,300+,high,3.5,,,Y,Y,N,,,,,,
PLAZZA PIZZA @ TEMPLE UNIVERSITY,1600 N Broad St, Philadelphia, PA 19122,(215) 765-3330,W.CC,,,,,N,N,100+,medium,3,,,N,N,N,,,,,,
PITA CHIP,1600 N Broad St #7, Philadelphia, PA 19121,(267) 273-1716,Temple,,,,,Y,Y,300+,high,4.5,,,Y,Y,N,,,,,,
KOJA GRILLE,1600 N Broad St, Philadelphia, PA 19121,(215) 763-5652,Temple,,,,,N,Y,300+,medium,3,,,N,N,N,,,,,,
TOWN PIZZA,1900 Pine St, Philadelphia, PA 19103,(215) 545-7730,W.CC,,,,,Y,Y,,nonexistant,,,,N,N,N,,,,,,
JIN HOUSE CHINESE RESTAURANT,1117 Locust St, Philadelphia, PA 19107,(215) 592-9500,E.CC,,,,,Y,Y,300+,high,,,,N,N,N,,,,,,
CHINA STAR,Multiple Locations,,,,,,,,,,,,low,,,,,,,,,,,,
AMASI,1731 Cecil B. Moore Ave, Philadelphia, PA 19121,(215) 309-5772,Temple,,,,,N,N,,low,,,,N,N,N,,,,,,
PAZZO PAZZO PIZZA,1614 Cecil B. Moore Ave, Philadelphia, PA 19121,(215) 236-7299,Temple,,,,,Y,Y,,low,,,,Y,N,Y,,,,,,
BELLISIMO FAMILY PIZZERIA AND GRILL,2223 Ridge Ave, Philadelphia, PA 19121,(215) 978-6666,Fairm.,,,,,N,N,,nonexistant,,,,N,N,N,,,,,,
TAKKA A'S GRILL & PIZZA,2310 Cecil B Moore Ave, Philadelphia 19121,,(215) 235-7777,Temple,,,,,Y,Y,300+,high,,,,N,N,N,,,,,,
MOOD INDIAN,423 W Girard Ave, Philadelphia, PA 19123,(215) 925-5080,Temple,,,,,Y,Y,300+,very high,,,,Y,N,N,,,,,,
LEE'S HOAGIE HOUSE,1428 Cecil B. Moore Ave, Philadelphia, PA 19121,(215) 232-5337,Temple,,,,,N,Y,,low,,,,N,N,N,,,,,,
TEMPLE TOWN PIZZA,2001 N Gratz St, Philadelphia, PA 19121,(215) 232-1935,Temple,,,,,N,Y,,low,,,,N,Y,N,,,,,,
CIRCLES THAI NORTHERN LIBERTIES,812 N 2nd St, Philadelphia, PA 19123,(267) 687-1309,No Libs,,,,,N,N,300+,very high,,,,N,Y,N,,,,,,
I SUSHI,425 S Broad St, Philadelphia, PA 19147,(215) 772-0333,W.CC,,,,,Y,Y,300+,very high,,,,N,Y,N,,,,,,
DEL ROSSI'S,538 N 4th St, Philadelphia, PA 19123,(267) 687-8874,No Libs,,,,,Y,Y,300+,very high,,,,N,Y,Y,,,,,,
SAIGE CAFE,Multiple Locations,,,,,,,,,,,,medium,,,,,,,,,,,,
YELLOW TAIL,1218 Pine St, Philadelphia, PA 19107,(610) 825-2705,E.CC,,,,,Y,Y,300+,very high,,,,N,N,N,,,,,,
FUZHOU HOUSE, 2202 South St, Philadelphia, PA 19146,(215) 732-6629,W.CC,,,,,Y,Y,,medium,,,,N,N,N,,,,,,
PLAZA PIZZA,1600 N Broad St, Philadelphia, PA 19122,(215) 765-3330,Temple,,,,,N,Y,,medium,,,,N,N,N,,,,,,
SOUTH STREET PIZZERA,1410 South St, Philadelphia, PA 19146,(215) 515-3117,E.CC,,,,,N,Y,,low,,,,Y,Y,N,,,,,,
AXIS PIZZA,20 S 36th St, Philadelphia, PA 19104,(215) 382-2199,UCity,,,,,N,Y,300+,very high,,,,N,Y,N,,,,,,
INDIAN SIZZLER,3651 Lancaster Ave, Philadelphia, PA 19104,(215) 386-7272,UCity,,,,,N,Y,,medium,,,,Y,Y,Y,,,,,,
MAD MEX U.C,3401 Walnut St, Philadelphia, PA 19104,(215) 382-2221,UCity,,,,,N,Y,300+,very high,,,,N,Y,Y,,,,,,
BAP,1224 South St, Philadelphia, PA 19147,(215) 735-0553,E.CC,,,,,N,Y,,nonexistant,,,,Y,N,N,,,,,,
LAS CAZUELAS,426 W Girard Ave, Philadelphia, PA 19123,(215) 351-9144,Temple,,,,,Y,Y,,medium,,,,Y,N,N,,,,,,
